id,code,name,user_type_id:id,reconcile,chart_template_id:id
1-111-001,1-111-001,Kas Kecil,account.data_account_type_liquidity,TRUE,l10n_id_fal
1-112-001,1-112-001,Bank,account.data_account_type_liquidity,TRUE,l10n_id_fal
1-112-002,1-112-002,Bank 2,account.data_account_type_liquidity,TRUE,l10n_id_fal
1-112-003,1-112-003,Bank Giro,account.data_account_type_liquidity,TRUE,l10n_id_fal
1-121-001,1-121-001,Piutang Usaha,account.data_account_type_receivable,TRUE,l10n_id_fal
1-121-002,1-121-002,Piutang Karyawan,account.data_account_type_current_assets,TRUE,l10n_id_fal
1-211-003,1-211-003,Piutang lainnya,account.data_account_type_current_assets,TRUE,l10n_id_fal
1-130-001,1-130-001,Persediaan Barang,account.data_account_type_current_assets,FALSE,l10n_id_fal
1-130-002,1-130-002,Persediaan Barang Dalam Perjalanan,account.data_account_type_current_assets,FALSE,l10n_id_fal
1-130-003,1-130-003,Persediaan Lainnya,account.data_account_type_current_assets,FALSE,l10n_id_fal
1-141-001,1-141-001,Sewa Dibayar Dimuka,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-141-002,1-141-002,Asuransi Dibayar Dimuka,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-141-003,1-141-003,Uang Muka Karyawan,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-141-004,1-141-004,Uang Muka Pembelian,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-151-001,1-151-001,Pajak Dibayar Dimuka PPH 22,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-151-002,1-151-002,Pajak Dibayar Dimuka PPH 23,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-151-003,1-151-003,Pajak Dibayar Dimuka PPH 25,account.data_account_type_prepayments,FALSE,l10n_id_fal
1-221-001,1-221-001,Tanah ,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-002,1-221-002,Bangunan,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-003,1-221-003,Kendaraan,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-004,1-221-004,Peralatan Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-005,1-221-005,Perlengkapan Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-006,1-221-006,Furnitur Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-221-007,1-221-007,Software Dan Lisensi,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-101,1-228-101,Akum Peny Bangunan,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-102,1-228-102,Akum Peny Kendaraan,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-103,1-228-103,Akum Peny Peralatan Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-104,1-228-104,Akum Peny Perlengkapan Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-105,1-228-105,Akum Peny Furnitur Kantor,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
1-228-106,1-228-106,Akum Peny Software dan Lisensi,account.data_account_type_fixed_assets,FALSE,l10n_id_fal
2-110-001,2-110-001,Hutang Usaha,account.data_account_type_payable,TRUE,l10n_id_fal
